lang	period	average_segment_length	average_doc_length
als_Latn	2011_2015	68.96996484545949	1434.154552
als_Latn	2024_2025	60.640663502358116	874.732293
als_Latn	2020_2021	65.7520787862292	903.250969
arb_Arab	2011_2015	72.53572285608453	1231.143674
arb_Arab	2020_2021	76.74049275033825	1096.963904
arb_Arab	2024_2025	62.0760498320505	1066.45828
bos_Latn	2011_2015	50.8757614806898	1223.187211
bos_Latn	2020_2021	61.71420108166075	998.588786
bos_Latn	2024_2025	60.53153697630794	954.089793
bul_Cyrl	2011_2015	51.99396318354197	1282.82662
bul_Cyrl	2020_2021	58.116963721608066	1405.64542
bul_Cyrl	2024_2025	56.645734149731176	1085.282588
cat_Latn	2024_2025	68.11021050834294	1088.218901
cat_Latn	2020_2021	68.62399461831744	1047.859164
cat_Latn	2011_2015	59.47216827354377	1396.536993
ces_Latn	2024_2025	55.185701218469205	1169.527112
ces_Latn	2020_2021	56.871880414731585	1336.726118
ces_Latn	2011_2015	47.15091518260867	1235.939545
cmn_Hans	2020_2021	48.059657231387746	1066.113528
cmn_Hans	2024_2025	41.74467126440256	1115.851886
cmn_Hans	2011_2015	40.349503495123145	1303.958805
dan_Latn	2011_2015	46.94650144800522	1096.851769
dan_Latn	2020_2021	55.98993813116085	1563.548585
dan_Latn	2024_2025	56.88165813594568	1335.983657
deu_Latn	2011_2015	49.33050897120286	1308.983033
deu_Latn	2020_2021	60.859168110431526	1360.069856
deu_Latn	2024_2025	55.32765607001381	1291.50999
ekk_Latn	2011_2015	31.4014704383733	2251.89478
ekk_Latn	2024_2025	50.70126559958547	1031.1197
ekk_Latn	2020_2021	51.28834090699819	1658.186476
ell_Grek	2020_2021	59.997450006689	1122.990511
ell_Grek	2024_2025	61.2651056759735	1038.488326
ell_Grek	2011_2015	48.5388195883891	1366.124058
eng_Latn	2024_2025	58.97696651973826	1661.726457
eng_Latn	2011_2015	57.08031293360025	1927.002482
eng_Latn	2020_2021	69.16366946957899	1830.447567
fin_Latn	2011_2015	43.167487078341956	1146.37232
fin_Latn	2020_2021	52.17976343104674	1628.420787
fin_Latn	2024_2025	45.2592075600707	1004.543862
fra_Latn	2011_2015	47.41916107117178	1351.559612
fra_Latn	2024_2025	58.01628504729493	1386.768657
fra_Latn	2020_2021	57.68601621911729	1574.302204
heb_Hebr	2024_2025	53.30974830190183	1208.276587
heb_Hebr	2011_2015	47.458648822455466	1380.472526
heb_Hebr	2020_2021	54.46457745108835	1292.847134
hrv_Latn	2024_2025	58.76056348389379	1126.253731
hrv_Latn	2020_2021	57.183377897265814	1425.202428
hrv_Latn	2011_2015	50.97413087207497	1306.849739
hun_Latn	2024_2025	57.089395685572946	1160.237037
hun_Latn	2011_2015	44.28978963366848	1257.429203
hun_Latn	2020_2021	60.50967624166255	1392.228717
hye_Armn	2011_2015	55.62634745207319	870.175636
